instance,integrator_a,integrator_b,n_samples,p_value,effect_size_cliffs_delta,ci_95_lower,ci_95_upper,protocol_compliant
23_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1e-15,1.0,0.0,0.0,True
23_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1e-15,1.0,0.0,0.0,True
23_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1e-15,1.0,0.0,0.0,True
24_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1e-15,1.0,0.0,0.0,True
24_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1e-15,1.0,0.0,0.0,True
24_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1e-15,1.0,0.0,0.0,True
25_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1e-15,1.0,0.0,0.0,True
25_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1e-15,1.0,0.0,0.0,True
25_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1e-15,1.0,0.0,0.0,True
26_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1e-15,1.0,0.0,0.0,True
26_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1e-15,1.0,0.0,0.0,True
26_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1e-15,1.0,0.0,0.0,True
27_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1.862645149230957e-09,1.0,-448205.86,-436246.2625,True
27_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1.862645149230957e-09,1.0,-448317.1633333334,-436203.6775,True
27_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1.862645149230957e-09,1.0,-448135.7183333334,-436082.64333333337,True
28_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1.862645149230957e-09,1.0,-460829.50750000007,-443540.2158333333,True
28_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1.862645149230957e-09,1.0,-460847.315,-443411.3816666667,True
28_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1.862645149230957e-09,1.0,-460663.6358333333,-443558.3483333333,True
29_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1e-15,1.0,0.0,0.0,True
29_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1e-15,1.0,0.0,0.0,True
29_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1e-15,1.0,0.0,0.0,True
3_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1e-15,1.0,0.0,0.0,True
3_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1e-15,1.0,0.0,0.0,True
3_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1e-15,1.0,0.0,0.0,True
30_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1e-15,1.0,0.0,0.0,True
30_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1e-15,1.0,0.0,0.0,True
30_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1e-15,1.0,0.0,0.0,True
4_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1e-15,1.0,0.0,0.0,True
4_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1e-15,1.0,0.0,0.0,True
4_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1e-15,1.0,0.0,0.0,True
5_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1.862645149230957e-09,1.0,-450533.7691666666,-434982.2558333333,True
5_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1.862645149230957e-09,1.0,-450506.82666666666,-435317.58416666667,True
5_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1.862645149230957e-09,1.0,-450386.10583333333,-434966.67333333334,True
6_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1e-15,1.0,0.0,0.0,True
6_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1e-15,1.0,0.0,0.0,True
6_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1e-15,1.0,0.0,0.0,True
7_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1e-15,1.0,0.0,0.0,True
7_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1e-15,1.0,0.0,0.0,True
7_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1e-15,1.0,0.0,0.0,True
8_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1.862645149230957e-09,1.0,-440287.75916666666,-424840.82833333337,True
8_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1.862645149230957e-09,1.0,-440370.015,-424665.73083333333,True
8_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1.862645149230957e-09,1.0,-440293.29583333334,-424716.4733333333,True
9_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1.862645149230957e-09,1.0,-439064.9141666666,-426547.01083333336,True
9_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1.862645149230957e-09,1.0,-439118.9266666667,-426669.385,True
9_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1.862645149230957e-09,1.0,-439012.64166666666,-426621.2233333333,True
